Title,IR,FlowHt,Const,Var,Base,MixS75,MixS50,MixS25,Thick,ParSize,Layer,Poro
base,1,0,1,0,1,0,0,0,,,,
base,0.9995,0.1798,1,0,1,0,0,0,,,,
base,0.9985,0.5389,1,0,1,0,0,0,,,,
base,0.997,1.0757,1,0,1,0,0,0,,,,
base,0.995,1.7884,1,0,1,0,0,0,,,,
base,0.9925,2.6742,1,0,1,0,0,0,,,,
base,0.9895,3.73,1,0,1,0,0,0,,,,
base,0.986,4.9516,1,0,1,0,0,0,,,,
base,0.982,6.3347,1,0,1,0,0,0,,,,
base,0.9775,7.8739,1,0,1,0,0,0,,,,
base,0.9725,9.5635,1,0,1,0,0,0,,,,
base,0.967,11.3973,1,0,1,0,0,0,,,,
base,0.961,13.3682,1,0,1,0,0,0,,,,
base,0.9545,15.4688,1,0,1,0,0,0,,,,
base,0.9475,17.6913,1,0,1,0,0,0,,,,
base,0.94,20.0272,1,0,1,0,0,0,,,,
base,0.932,22.4677,1,0,1,0,0,0,,,,
base,0.9235,25.0035,1,0,1,0,0,0,,,,
base,0.9145,27.6249,1,0,1,0,0,0,,,,
base,0.905,30.322,1,0,1,0,0,0,,,,
base,0.895,33.0844,1,0,1,0,0,0,,,,
base,0.8845,35.9016,1,0,1,0,0,0,,,,
base,0.8735,38.7628,1,0,1,0,0,0,,,,
base,0.862,41.657,1,0,1,0,0,0,,,,
base,0.85,44.5731,1,0,1,0,0,0,,,,
base,0.8375,47.5,1,0,1,0,0,0,,,,
base,0.8245,50.4263,1,0,1,0,0,0,,,,
base,0.811,53.3409,1,0,1,0,0,0,,,,
base,0.797,56.2326,1,0,1,0,0,0,,,,
base,0.7825,59.0905,1,0,1,0,0,0,,,,
base,0.7675,61.9038,1,0,1,0,0,0,,,,
base,0.752,64.6618,1,0,1,0,0,0,,,,
base,0.736,67.3543,1,0,1,0,0,0,,,,
base,0.7195,69.9715,1,0,1,0,0,0,,,,
base,0.7025,72.504,1,0,1,0,0,0,,,,
base,0.685,74.9428,1,0,1,0,0,0,,,,
base,0.667,77.2797,1,0,1,0,0,0,,,,
base,0.6485,79.507,1,0,1,0,0,0,,,,
base,0.6295,81.6178,1,0,1,0,0,0,,,,
base,0.61,83.606,1,0,1,0,0,0,,,,
base,0.59,85.4665,1,0,1,0,0,0,,,,
base,0.5695,87.195,1,0,1,0,0,0,,,,
base,0.5485,88.7885,1,0,1,0,0,0,,,,
base,0.527,90.2449,1,0,1,0,0,0,,,,
base,0.505,91.5635,1,0,1,0,0,0,,,,
base,0.4825,92.745,1,0,1,0,0,0,,,,
base,0.4595,93.7913,1,0,1,0,0,0,,,,
base,0.436,94.706,1,0,1,0,0,0,,,,
base,0.412,95.4942,1,0,1,0,0,0,,,,
base,0.3875,96.1629,1,0,1,0,0,0,,,,
base,0.3625,96.7208,1,0,1,0,0,0,,,,
base,0.337,97.1784,1,0,1,0,0,0,,,,
base,0.311,97.5485,1,0,1,0,0,0,,,,
base,0.2845,97.8459,1,0,1,0,0,0,,,,
base,0.2575,98.0876,1,0,1,0,0,0,,,,
base,0.23,98.2931,1,0,1,0,0,0,,,,
base,0.202,98.4842,1,0,1,0,0,0,,,,
base,0.1735,98.6853,1,0,1,0,0,0,,,,
S75A25,1,0.0000,1,0,0,1,0,0,,,,
S75A25,0.9995,2.8114,1,0,0,1,0,0,,,,
S75A25,0.9985,4.2143,1,0,0,1,0,0,,,,
